"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions"
"114",2015-10-26,50000,6289,6173,11946,2485,4922
"115",2015-11-02,125000,NA,NA,NA,NA,NA
"116",2015-11-09,125000,NA,NA,NA,NA,NA
"117",2015-11-16,125000,NA,NA,NA,NA,NA
"118",2015-11-23,125000,NA,NA,NA,NA,NA
"119",2015-11-30,125000,NA,NA,NA,NA,NA
"120",2015-12-07,125000,NA,NA,NA,NA,NA
"121",2015-12-14,125000,NA,NA,NA,NA,NA
"122",2015-12-21,50000,NA,NA,NA,NA,NA
"123",2015-12-28,50000,NA,NA,NA,NA,NA
"124",2016-01-04,0,NA,NA,NA,NA,NA
