"","date","GMV","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand","organic.net.home.forecast","organic.net.home.lift","organic.net.home.lift.low.bound","organic.net.home.lift.upper.bound","organic.home.forecast","organic.home.lift","organic.home.lift.low.bound","organic.home.lift.upper.bound","direct.net.home.forecast","direct.net.home.lift","direct.net.home.lift.low.bound","direct.net.home.lift.upper.bound","direct.home.forecast","direct.home.lift","direct.home.lift.low.bound","direct.home.lift.upper.bound","paid.brand.sessions.forecast","paid.brand.lift","paid.brand.lift.low.bound","paid.brand.lift.upper.bound"
"27",2014-03-03,NA,0,5565,1780,11349,2358,NA,11434.5957757303,0,0,0,2257.37165974884,0,0,0,5077.33298073412,0,0,0,1744.43299440821,0,0,0,NA,0,0,0
"28",2014-03-10,NA,0,4812,1964,10745,2303,NA,11308.0705628277,0,0,0,2475.28793085837,0,0,0,5287.54868198231,0,0,0,1685.71458464348,0,0,0,NA,0,0,0
"29",2014-03-17,NA,0,8007,1981,10725,2286,NA,10625.5730432266,0,0,0,2218.24725851595,0,0,0,5316.13987586318,0,0,0,1815.86955928594,0,0,0,NA,0,0,0
"30",2014-03-24,NA,0,11021,2180,9529,2233,NA,10721.0454650075,0,0,0,2324.99029787922,0,0,0,5908.43506558173,0,0,0,1852.90668591282,0,0,0,NA,0,0,0
"31",2014-03-31,1018085,0,4826,1895,10084,2185,NA,9292.51880744867,0,0,0,2169.91934932442,0,0,0,7975.80575139476,0,0,0,2012.22027353158,0,0,0,NA,0,0,0
"32",2014-04-07,516137,0,5232,2389,9964,2164,NA,10193.7383460418,0,0,0,2191.00377396198,0,0,0,7414.01562058522,0,0,0,1823.23337020814,0,0,0,NA,0,0,0
"33",2014-04-14,701958,0,4363,1729,10261,1986,NA,9940.27279004502,0,0,0,2127.78595167924,0,0,0,5136.51520657614,0,0,0,2166.88941270125,0,0,0,NA,0,0,0
"34",2014-04-21,475568,0,5370,1927,11154,2103,NA,10319.7248446386,0,0,0,1953.71315079395,0,0,0,5183.89572044018,0,0,0,1724.57172561402,0,0,0,NA,0,0,0
"35",2014-04-28,603693,0,5143,1827,11407,1941,NA,11330.569987415,0,0,0,2142.9639256332,0,0,0,5558.8900133749,0,0,0,1794.68723450229,0,0,0,NA,0,0,0
"36",2014-05-05,672041,36181,4963,2588,11181,2325,NA,12160.3019295308,703.277061875717,631.62099119279,774.933132558644,2485.47176592847,645.090483327135,599.096041288284,691.084925365986,5877.49518887698,242.685401006699,-51.1273505706631,536.498152584061,4006.09886664347,2275.10024394303,2113.96651563857,2436.23397224749,NA,1286.15043296934,1188.96440768349,1383.33645825519
"37",2014-05-12,536227,49349,5574,3914,11725,2739,NA,11229.4116936591,935.431688480453,820.961893228478,1049.90148373243,2591.88642685011,880.931738209709,807.249053731,954.614422688419,5827.82846047116,572.352973536803,125.960512502323,1018.74543457128,3616.04720293995,3056.95586777648,2796.90102559926,3317.0107099537,NA,1745.40589659771,1599.01167526915,1891.80011792628
"38",2014-05-19,716355,46744,9458,4802,11964,2942,NA,11741.7413373764,890.512853789893,785.221434888694,995.804272691093,2741.73427363815,834.230752370016,766.489194768806,901.972309971227,5601.99548245895,496.915941754528,82.6409355503654,911.190947958691,3664.07729182326,2904.23760305168,2665.4576351402,3143.01757096315,NA,1654.92644498117,1518.85292962914,1790.99996033321
"39",2014-05-26,1028311,51497,6249,4657,13003,3033,NA,12101.721875858,972.096381307251,849.795471278067,1094.39729133644,2971.35653384365,919.456566823701,840.703003976167,998.210129671235,7009.27072526744,638.34768268458,164.755028928128,1111.94033644103,4776.46685345045,3182.15722542233,2903.92701042001,3460.38744042465,NA,1819.87354207661,1664.75179374659,1974.99529040662
"40",2014-06-02,655169,42098,5589,4609,13699,3076,NA,13029.3769649863,809.166499152289,719.377100908134,898.955897396444,2774.00153308955,750.994909026576,693.281714514779,808.708103538374,7272.19886757076,374.886110819954,15.5259444256977,734.246277214211,4053.66972947748,2629.47246836072,2426.54807802041,2832.39685870103,NA,1493.09886120313,1374.71489434326,1611.482828063
"41",2014-06-09,615812,25370,5234,3528,12611,2753,NA,13562.8485399763,503.181625374456,459.999872577298,546.363378171615,2759.96131204205,451.887153224739,424.257139720632,479.517166728846,5527.50213250625,68.305831585931,-118.448255173193,255.059918345055,3394.2991900239,1614.77684920257,1518.79018522806,1710.76351317707,NA,905.574095467263,843.268030749703,967.880160184824
"42",2014-06-16,508797,28605,6770,3435,11471,2681,NA,12517.1473828274,563.954317267232,512.883279911198,615.025354623266,2674.17363489044,509.659772885287,476.947460464063,542.372085306511,5343.05491806153,111.383542848873,-105.684359807356,328.451445505102,3608.37619706398,1814.10793588864,1700.14621580937,1928.06965596791,NA,1019.7880777454,947.566688790837,1092.00946669996
