Date, Revenue , Order Count 
2/18/2015," 181,463 ", 30 
2/19/2015," 278,569 ", 20 
2/20/2015," 92,802 ", 21 
2/21/2015," 69,138 ", 17 
2/22/2015," 98,463 ", 16 
2/23/2015," 234,591 ", 39 
2/24/2015," 205,894 ", 26 
2/25/2015," 192,059 ", 26 
2/26/2015," 136,242 ", 27 
2/27/2015," 192,074 ", 29 
2/28/2015," 71,607 ", 13 
3/1/2015," 105,256 ", 33 
3/2/2015," 243,019 ", 39 
3/3/2015," 159,533 ", 24 
3/4/2015," 190,333 ", 34 
3/5/2015," 129,789 ", 21 
3/6/2015," 118,875 ", 22 
3/7/2015," 164,727 ", 23 
3/8/2015," 63,209 ", 22 
3/9/2015," 181,162 ", 31 
3/10/2015," 323,217 ", 43 
3/11/2015," 111,712 ", 27 
3/12/2015," 593,183 ", 23 
3/13/2015," 85,313 ", 25 
3/14/2015," 146,291 ", 21 
3/15/2015," 111,067 ", 25 
3/16/2015," 222,495 ", 30 
3/17/2015," 253,845 ", 36 
3/18/2015," 162,835 ", 27 
3/19/2015," 120,378 ", 21 
3/20/2015," 217,279 ", 25 
3/21/2015," 175,377 ", 25 
3/22/2015," 80,879 ", 19 
3/23/2015," 372,451 ", 24 
3/24/2015," 184,089 ", 26 
3/25/2015," 186,572 ", 23 
3/26/2015," 111,973 ", 25 
3/27/2015," 351,424 ", 27 
3/28/2015," 103,043 ", 15 
3/29/2015," 33,214 ", 16 
3/30/2015," 147,475 ", 19 
3/31/2015," 236,990 ", 34 
4/1/2015," 109,763 ", 23 
4/2/2015," 290,549 ", 25 
4/3/2015," 175,915 ", 23 
4/4/2015," 105,968 ", 24 
4/5/2015," 168,749 ", 11 
4/6/2015," 186,507 ", 32 
4/7/2015," 102,541 ", 27 
4/8/2015," 98,551 ", 26 
4/9/2015," 326,939 ", 28 
4/10/2015," 136,042 ", 22 
4/11/2015," 65,132 ", 14 
4/12/2015," 62,424 ", 19 
4/13/2015," 149,693 ", 27 
4/14/2015," 109,495 ", 21 
4/15/2015," 203,699 ", 20 
4/16/2015," 140,617 ", 28 
4/17/2015," 130,320 ", 30 
4/18/2015," 124,831 ", 25 
4/19/2015," 51,465 ", 18 
4/20/2015," 45,048 ", 22 
4/21/2015," 203,628 ", 26 
4/22/2015," 148,397 ", 26 
4/23/2015," 132,687 ", 23 
4/24/2015," 155,450 ", 20 
4/25/2015," 35,535 ", 12 
4/26/2015," 44,510 ", 12 
4/27/2015," 178,331 ", 30 
4/28/2015," 143,870 ", 30 
4/29/2015," 158,718 ", 28 
4/30/2015," 121,080 ", 23 
5/1/2015," 132,476 ", 27 
5/2/2015," 98,657 ", 16 
5/3/2015," 117,274 ", 24 
5/4/2015," 135,718 ", 36 
5/5/2015," 189,971 ", 30 
5/6/2015," 292,554 ", 38 
5/7/2015," 148,552 ", 31 
5/8/2015," 142,254 ", 14 
5/9/2015," 46,328 ", 10 
5/10/2015," 70,530 ", 12 
5/11/2015," 243,894 ", 48 
5/12/2015," 186,829 ", 34 
5/13/2015," 153,093 ", 29 
5/14/2015," 135,076 ", 27 
5/15/2015," 360,654 ", 32 
5/16/2015," 71,802 ", 12 
5/17/2015," 88,195 ", 16 
5/18/2015," 125,986 ", 30 
5/19/2015," 226,945 ", 36 
5/20/2015," 167,514 ", 31 
5/21/2015," 229,083 ", 37 
5/22/2015," 206,906 ", 17 
5/23/2015," 70,328 ", 17 
5/24/2015," 56,722 ", 12 
5/25/2015," 97,201 ", 20 
5/26/2015," 147,440 ", 25 
5/27/2015," 164,532 ", 24 
5/28/2015," 174,457 ", 30 
5/29/2015," 186,567 ", 37 
5/30/2015," 69,790 ", 13 
5/31/2015," 140,420 ", 21 
6/1/2015," 115,517 ", 24 
6/2/2015," 132,540 ", 29 
6/3/2015," 248,041 ", 34 
6/4/2015," 133,395 ", 22 
6/5/2015," 174,271 ", 29 
6/6/2015," 191,650 ", 16 
6/7/2015," 53,282 ", 16 
6/8/2015," 135,357 ", 31 
6/9/2015," 109,198 ", 22 
6/10/2015," 180,160 ", 25 
6/11/2015," 109,196 ", 23 
6/12/2015," 141,102 ", 32 
6/13/2015," 91,012 ", 22 
6/14/2015," 70,991 ", 24 
6/15/2015," 225,731 ", 41 
6/16/2015," 163,798 ", 40 
6/17/2015," 164,078 ", 30 
6/18/2015," 160,558 ", 23 
6/19/2015," 166,242 ", 27 
6/20/2015," 54,283 ", 12 
6/21/2015," 83,487 ", 21 
6/22/2015," 199,342 ", 33 
6/23/2015," 174,405 ", 30 
6/24/2015," 213,195 ", 24 
6/25/2015," 117,187 ", 25 
6/26/2015," 158,701 ", 21 
6/27/2015," 123,701 ", 19 
6/28/2015," 64,695 ", 20 
6/29/2015," 836,109 ", 43 
6/30/2015," 196,409 ", 30 
7/1/2015," 179,853 ", 32 
7/2/2015," 173,783 ", 23 
7/3/2015," 75,774 ", 22 
7/4/2015," 57,136 ", 8 
7/5/2015," 77,676 ", 17 
7/6/2015," 414,413 ", 38 
7/7/2015," 153,780 ", 31 
7/8/2015," 255,120 ", 37 
7/9/2015," 147,851 ", 23 
7/10/2015," 105,185 ", 26 
7/11/2015," 54,560 ", 14 
7/12/2015," 55,486 ", 16 
7/13/2015," 181,974 ", 38 
7/14/2015," 132,050 ", 25 
7/15/2015," 119,332 ", 21 
7/16/2015," 298,597 ", 38 
7/17/2015," 116,955 ", 23 
7/18/2015," 76,839 ", 14 
7/19/2015," 75,623 ", 15 
7/20/2015," 120,259 ", 26 
7/21/2015," 131,888 ", 25 
7/22/2015," 117,627 ", 21 
7/23/2015," 102,587 ", 23 
7/24/2015," 127,177 ", 25 
7/25/2015," 64,295 ", 10 
7/26/2015," 34,156 ", 12 
7/27/2015," 182,256 ", 29 
7/28/2015," 107,428 ", 26 
7/29/2015," 105,893 ", 18 
7/30/2015," 191,290 ", 34 
7/31/2015," 104,700 ", 23 
8/1/2015," 91,869 ", 14 
8/2/2015," 42,773 ", 15 
8/3/2015," 119,131 ", 23 
8/4/2015," 134,905 ", 32 
8/5/2015," 140,454 ", 27 
8/6/2015," 213,240 ", 31 
8/7/2015," 155,646 ", 30 
8/8/2015," 148,023 ", 15 
8/9/2015," 87,309 ", 16 
8/10/2015," 120,278 ", 33 
8/11/2015," 152,365 ", 30 
8/12/2015," 248,599 ", 28 
8/13/2015," 95,807 ", 23 
8/14/2015," 181,838 ", 28 
8/15/2015," 30,869 ", 9 
8/16/2015," 76,524 ", 18 
8/17/2015," 121,990 ", 30 
8/18/2015," 146,874 ", 30 
8/19/2015," 225,625 ", 27 
8/20/2015," 155,067 ", 28 
8/21/2015," 123,471 ", 22 
8/22/2015," 62,227 ", 7 
8/23/2015," 95,090 ", 20 
8/24/2015," 144,069 ", 23 
8/25/2015," 84,772 ", 21 
8/26/2015," 193,161 ", 20 
8/27/2015," 74,587 ", 22 
8/28/2015," 86,388 ", 8 
8/29/2015," 54,048 ", 13 
8/30/2015," 63,663 ", 15 
8/31/2015," 209,351 ", 31 
9/1/2015," 163,462 ", 17 
9/2/2015," 132,509 ", 19 
9/3/2015," 119,420 ", 22 
9/4/2015," 61,216 ", 14 
9/5/2015," 25,893 ", 9 
9/6/2015," 46,466 ", 15 
9/7/2015," 39,142 ", 16 
9/8/2015," 114,851 ", 25 
9/9/2015," 53,557 ", 19 
9/10/2015," 130,049 ", 20 
9/11/2015," 136,227 ", 19 
9/12/2015," 37,862 ", 13 
9/13/2015," 75,779 ", 19 
9/14/2015," 240,287 ", 37 
9/15/2015," 82,270 ", 19 
9/16/2015," 48,798 ", 18 
9/17/2015," 110,302 ", 20 
9/18/2015," 115,321 ", 19 
9/19/2015," 21,401 ", 9 
9/20/2015," 60,300 ", 10 
9/21/2015," 53,368 ", 13 
9/22/2015," 121,916 ", 21 
9/23/2015," 144,879 ", 18 
9/24/2015," 96,769 ", 19 
9/25/2015," 123,624 ", 18 
9/26/2015," 16,404 ", 4 
9/27/2015," 68,929 ", 14 
9/28/2015," 89,758 ", 14 
9/29/2015," 105,802 ", 18 
9/30/2015," 72,935 ", 25 
10/1/2015," 78,576 ", 12 
10/2/2015," 60,704 ", 12 
10/3/2015," 66,728 ", 11 
10/4/2015," 24,605 ", 8 
10/5/2015," 107,305 ", 21 
10/6/2015," 125,674 ", 21 
10/7/2015," 71,408 ", 15 
10/8/2015," 98,916 ", 18 
10/9/2015," 135,935 ", 17 
10/10/2015," 35,005 ", 6 
10/11/2015," 78,569 ", 7 
10/12/2015," 75,468 ", 14 
10/13/2015," 123,305 ", 27 
10/14/2015," 121,023 ", 23 
10/15/2015," 101,979 ", 19 
10/16/2015," 116,598 ", 20 
10/17/2015," 34,447 ", 5 
10/18/2015," 29,646 ", 9 
10/19/2015," 156,120 ", 22 
10/20/2015," 159,347 ", 25 
10/21/2015," 196,239 ", 23 
10/22/2015," 145,469 ", 19 
10/23/2015," 97,939 ", 23 
10/24/2015," 57,258 ", 8 
10/25/2015," 217,536 ", 21 
10/26/2015," 90,744 ", 21 
10/27/2015," 171,788 ", 20 
10/28/2015," 18,476 ", 7 
