Date, Revenue , Order Count 
7/1/2013," 119,036 ", 9 
7/2/2013," 19,440 ", 2 
7/3/2013," 19,119 ", 5 
7/4/2013," 57,038 ", 6 
7/5/2013," 47,015 ", 4 
7/6/2013," 35,404 ", 6 
7/7/2013, -   , -   
7/8/2013," 70,369 ", 6 
7/9/2013," 69,220 ", 10 
7/10/2013," 75,850 ", 9 
7/11/2013," 45,076 ", 7 
7/12/2013," 28,867 ", 4 
7/13/2013," 16,424 ", 5 
7/14/2013," 5,810 ", 1 
7/15/2013," 16,837 ", 4 
7/16/2013," 22,145 ", 6 
7/17/2013," 51,454 ", 5 
7/18/2013," 58,914 ", 7 
7/19/2013," 1,899 ", 1 
7/20/2013," 5,228 ", 2 
7/21/2013," 17,542 ", 8 
7/22/2013," 13,839 ", 5 
7/23/2013," 98,921 ", 8 
7/24/2013," 73,468 ", 9 
7/25/2013," 36,736 ", 7 
7/26/2013," 14,957 ", 2 
7/27/2013," 31,501 ", 3 
7/28/2013," 20,120 ", 3 
7/29/2013," 102,439 ", 9 
7/30/2013," 70,978 ", 8 
7/31/2013," 20,540 ", 2 
8/1/2013," 27,440 ", 6 
8/2/2013," 164,407 ", 5 
8/3/2013," 10,089 ", 3 
8/4/2013," 19,448 ", 3 
8/5/2013," 119,692 ", 12 
8/6/2013," 165,322 ", 15 
8/7/2013," 23,708 ", 6 
8/8/2013," 41,447 ", 10 
8/9/2013," 45,784 ", 9 
8/10/2013," 9,115 ", 6 
8/11/2013," 82,063 ", 6 
8/12/2013," 366,379 ", 11 
8/13/2013," 68,246 ", 6 
8/14/2013," 30,772 ", 6 
8/15/2013," 42,280 ", 8 
8/16/2013," 106,217 ", 8 
8/17/2013," 26,251 ", 4 
8/18/2013," 25,002 ", 5 
8/19/2013," 55,521 ", 13 
8/20/2013," 128,087 ", 10 
8/21/2013," 41,834 ", 9 
8/22/2013," 83,677 ", 10 
8/23/2013," 31,163 ", 4 
8/24/2013," 3,631 ", 4 
8/25/2013," 35,712 ", 9 
8/26/2013," 92,461 ", 7 
8/27/2013," 152,748 ", 9 
8/28/2013," 39,199 ", 5 
8/29/2013," 34,687 ", 6 
8/30/2013," 26,543 ", 5 
8/31/2013," 10,864 ", 5 
9/1/2013," 1,622 ", 3 
9/2/2013," 15,937 ", 5 
9/3/2013," 232,439 ", 7 
9/4/2013," 76,374 ", 10 
9/5/2013," 55,457 ", 8 
9/6/2013," 17,523 ", 7 
9/7/2013," 26,775 ", 7 
9/8/2013," 36,064 ", 6 
9/9/2013," 192,617 ", 16 
9/10/2013," 144,933 ", 10 
9/11/2013," 158,730 ", 16 
9/12/2013," 41,667 ", 3 
9/13/2013," 86,556 ", 11 
